,Unnamed: 0,Timestamp,Transport,Object Type,Transfer API,UCX-Py API,NumPy Version,CuPy Version,RMM Version,UCX-Py Version,UCX Version,UCX Revision,Bandwidth
81,81.0,202106072200,CUDA_IPC_NV1,cupy,TAG,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,22.57 GiB/s
82,82.0,202106072200,CUDA_IPC_NV2,cupy,TAG,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,45.09 GiB/s
83,83.0,202106072200,RC,cupy,TAG,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,10.59 GiB/s
84,84.0,202106072200,TCP SM,cupy,AM,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,2.32 GiB/s
85,85.0,202106072200,TCP,cupy,AM,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,2.33 GiB/s
86,86.0,202106072200,CUDA_IPC_SELF,cupy,AM,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,342.43 GiB/s
87,87.0,202106072200,CUDA_IPC_NV1,cupy,AM,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,22.55 GiB/s
88,88.0,202106072200,CUDA_IPC_NV2,cupy,AM,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,45.02 GiB/s
89,89.0,202106072200,RC,cupy,AM,Core,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,10.53 GiB/s
90,90.0,202106072200,TCP SM,numpy,TAG,Async,1.20.3,9.1.0,21.08.00a+18.gaa2a2f3,0.21.0a+14.gaf99c05,1.11.0,1d93613,3.03 GiB/s
